"Crude oil, Brent"
25.38
27.70
27.47
22.54
27.34
29.68
28.53
29.43
32.62
30.93
32.52
25.13
25.64
27.41
24.40
25.64
28.45
27.72
24.54
25.70
25.54
20.48
18.94
18.60
19.49
20.29
23.69
25.65
25.39
24.13
25.77
26.63
28.34
27.55
24.18
28.52
31.25
32.65
30.34
25.02
25.81
27.55
28.40
29.83
27.10
29.59
28.77
29.93
31.18
30.87
33.80
33.36
37.92
35.19
38.37
43.03
43.38
49.82
43.05
39.64
44.28
45.56
53.08
51.86
48.67
54.31
57.58
64.09
62.98
58.52
55.54
56.75
63.57
59.92
62.25
70.44
70.19
68.86
73.90
73.61
62.77
58.38
58.48
62.31
54.30
57.76
62.14
67.40
67.48
71.32
77.20
70.80
77.13
82.86
92.53
91.45
91.92
94.82
103.28
110.19
123.94
133.05
133.87
113.85
99.06
72.84
53.24
41.58
44.86
43.24
46.84
50.85
57.94
68.62
64.91
72.50
67.69
73.19
77.04
74.67
76.37
74.31
79.27
84.98
76.25
74.84
74.74
76.69
77.79
82.92
85.67
91.80
96.29
103.96
114.44
123.07
114.46
113.76
116.46
110.08
110.88
109.47
110.50
107.91
111.16
119.70
124.93
120.46
110.52
95.59
103.14
113.34
113.38
111.97
109.71
109.68
112.97
116.52
109.24
102.88
103.03
103.11
107.72
110.96
111.62
109.48
108.08
110.67
107.42
108.81
107.40
107.79
109.68
111.87
106.98
101.92
97.34
87.27
78.44
62.33
48.07
57.93
55.79
59.39
64.56
62.34
55.87
46.99
47.24
48.12
44.42
37.72
30.80
33.20
39.07
42.25
47.13
48.48
45.07
46.14
46.19
49.73
46.44
54.07
54.89
55.49
51.97
52.98
50.87
46.89
48.69
51.37
55.16
57.62
62.57
64.21
68.99
65.42
66.45
71.63
76.65
75.19
74.44
73.13
78.86
80.47
65.17
56.46
59.27
64.13
66.41
71.20
70.53
63.30
64.00
59.25
62.33
59.37
62.74
65.85
63.60
55.00
32.98
23.34
31.02
39.93
42.81
44.26
41.09
40.47
43.23
49.87
54.55
61.96
65.19
64.77
68.04
73.07
74.39
70.02
74.60
83.65
80.77
74.31
85.53
95.76
115.59
105.78
112.37
120.08
108.92
98.60
90.16
93.13
91.07
80.90
83.09
82.71
78.53
84.11
75.70
74.89
80.10
86.16
94.00
91.06
83.18
77.86
80.23
83.76
85.45
