,pdq,aic
0,"(0, 0, 0)",2524.799166202095
1,"(0, 0, 1)",2205.0258405140635
2,"(0, 0, 2)",2009.4085676471009
3,"(0, 0, 3)",1871.9155869449223
4,"(0, 1, 0)",1679.2936723639368
5,"(0, 1, 1)",1645.6489635438006
6,"(0, 1, 2)",1640.727786527826
7,"(0, 1, 3)",1642.4382709567217
8,"(0, 2, 0)",1729.751203786555
9,"(0, 2, 1)",1681.1400292724275
10,"(0, 2, 2)",1647.202921503499
11,"(0, 2, 3)",1642.0439158119577
12,"(0, 3, 0)",1971.0270218576984
13,"(0, 3, 1)",1731.7181884387755
14,"(0, 3, 2)",1691.4132034289748
15,"(0, 3, 3)",1657.140390283712
16,"(1, 0, 0)",1690.2088561726027
17,"(1, 0, 1)",1654.9621147709831
18,"(1, 0, 2)",1648.494819562105
19,"(1, 0, 3)",1650.464417955278
20,"(1, 1, 0)",1640.8011768972967
21,"(1, 1, 1)",1642.6548046464682
22,"(1, 1, 2)",1642.5516960178888
23,"(1, 1, 3)",1641.6404751877872
24,"(1, 2, 0)",1708.8058963063395
25,"(1, 2, 1)",1642.0718495175615
26,"(1, 2, 2)",1643.9533985600467
27,"(1, 2, 3)",1643.89445897851
28,"(1, 3, 0)",1865.488795764344
29,"(1, 3, 1)",1711.361819170173
30,"(1, 3, 2)",1651.267435539302
31,"(1, 3, 3)",1683.788989749169
32,"(2, 0, 0)",1648.1117365639761
33,"(2, 0, 1)",1650.1077420315128
34,"(2, 0, 2)",1650.4704163859756
35,"(2, 0, 3)",1646.7097988156506
36,"(2, 1, 0)",1642.5886391515523
37,"(2, 1, 1)",1641.0008277379848
38,"(2, 1, 2)",1644.0743516727612
39,"(2, 1, 3)",1643.616756421197
40,"(2, 2, 0)",1702.1380842837525
41,"(2, 2, 1)",1643.9028368495963
42,"(2, 2, 2)",1641.5915758254544
43,"(2, 2, 3)",1645.4891632095887
44,"(2, 3, 0)",1831.4753862516318
45,"(2, 3, 1)",1705.0569628397675
46,"(2, 3, 2)",1709.1548371681895
47,"(2, 3, 3)",1655.947343598661
48,"(3, 0, 0)",1650.106470619684
49,"(3, 0, 1)",1652.0036528580997
50,"(3, 0, 2)",1652.3897551797588
51,"(3, 0, 3)",1650.8316744612528
52,"(3, 1, 0)",1642.686442346348
53,"(3, 1, 1)",1644.6829838227527
54,"(3, 1, 2)",1644.7230978593066
55,"(3, 1, 3)",1645.5046157338138
56,"(3, 2, 0)",1690.0222109774597
57,"(3, 2, 1)",1644.1337455835958
58,"(3, 2, 2)",1643.589974068302
59,"(3, 2, 3)",1638.978299021572
60,"(3, 3, 0)",1802.317685310966
61,"(3, 3, 1)",1693.3978588459702
62,"(3, 3, 2)",1705.0567218233143
63,"(3, 3, 3)",1713.0947835136028
