,timestamp,month,prediction,actual
0,2019-01-01,m+1,53.01334620719868,60.23
1,2019-02-01,m+1,59.658206696250026,64.5
2,2019-03-01,m+1,67.51792871779813,67.05
3,2019-04-01,m+1,70.13543657166254,71.66
4,2019-05-01,m+1,73.49448591446065,70.3
5,2019-06-01,m+1,71.06823826777244,63.05
6,2019-07-01,m+1,67.21235770724104,64.19
7,2019-08-01,m+1,65.60621246486613,59.47
8,2019-09-01,m+1,67.28040210500589,62.29
9,2019-10-01,m+1,65.51370097731443,59.63
10,2019-11-01,m+1,48.31089760255239,62.71
11,2019-12-01,m+1,66.743388782191,65.17
12,2020-01-01,m+1,67.50070327574052,63.67
13,2020-02-01,m+1,62.660345112542124,55.53
14,2020-03-01,m+1,54.67034712105715,33.73
15,2020-04-01,m+1,39.05730641214844,26.63
16,2020-05-01,m+1,29.82161182297297,32.11
17,2020-06-01,m+1,30.91421489033256,40.77
18,2020-07-01,m+1,42.62127398155627,43.24
19,2020-08-01,m+1,45.76469335834593,45.04
20,2020-09-01,m+1,50.34584218059075,41.87
21,2020-10-01,m+1,42.614621339369904,41.36
22,2020-11-01,m+1,57.58114199647987,43.98
23,2020-12-01,m+1,44.96305777405267,50.23
24,2021-01-01,m+1,55.00900821386925,55.33
25,2021-02-01,m+1,52.20924845743147,62.27
26,2021-03-01,m+1,60.45396524910609,65.84
27,2021-04-01,m+1,72.49439337644444,65.33
28,2021-05-01,m+1,69.51073621432452,68.34
29,2021-06-01,m+1,68.00242017463965,73.35
30,2021-07-01,m+1,72.53610716729418,74.29
31,2021-08-01,m+1,73.7611044874661,70.51
32,2021-09-01,m+1,74.2179300684881,74.88
33,2021-10-01,m+1,76.46993366800145,83.75
34,2021-11-01,m+1,71.01985068568436,80.75
35,2021-12-01,m+1,75.32417420507518,74.8
36,2022-01-01,m+1,73.95651952706105,85.48
37,2022-02-01,m+1,82.46072436725385,94.28
38,2022-03-01,m+1,101.8690348773478,112.51
39,2022-04-01,m+1,119.87491049336879,105.81
40,2022-05-01,m+1,104.28619320569726,111.55
41,2022-06-01,m+1,106.89757061620986,117.22
42,2022-07-01,m+1,116.64905236644532,105.14
43,2022-08-01,m+1,98.01047221731211,97.74
44,2022-09-01,m+1,104.6884447950649,90.57
45,2022-10-01,m+1,100.17960969425617,93.6
46,2019-01-01,m+2,53.931685647060945,64.5
47,2019-02-01,m+2,60.94989903543072,67.05
48,2019-03-01,m+2,70.47207252225235,71.66
49,2019-04-01,m+2,73.11713638819869,70.3
50,2019-05-01,m+2,74.64246630277013,63.05
51,2019-06-01,m+2,69.03058895480252,64.19
52,2019-07-01,m+2,68.38252537805236,59.47
53,2019-08-01,m+2,74.21205973245051,62.29
54,2019-09-01,m+2,68.62403031444606,59.63
55,2019-10-01,m+2,53.9336591476611,62.71
56,2019-11-01,m+2,50.21856978651193,65.17
57,2019-12-01,m+2,68.77923272998332,63.67
58,2020-01-01,m+2,66.40089026531322,55.53
59,2020-02-01,m+2,60.47436076354303,33.73
60,2020-03-01,m+2,58.13806324627871,26.63
61,2020-04-01,m+2,42.9112825086093,32.11
62,2020-05-01,m+2,28.518287632267125,40.77
63,2020-06-01,m+2,32.422464895521586,43.24
64,2020-07-01,m+2,44.87485014048406,45.04
65,2020-08-01,m+2,51.26149702729488,41.87
66,2020-09-01,m+2,53.78824276233504,41.36
67,2020-10-01,m+2,57.0862202336046,43.98
68,2020-11-01,m+2,65.77212257644689,50.23
69,2020-12-01,m+2,50.11112102232835,55.33
70,2021-01-01,m+2,51.791613709995175,62.27
71,2021-02-01,m+2,52.29979188877962,65.84
72,2021-03-01,m+2,63.80465227199469,65.33
73,2021-04-01,m+2,76.35487715066203,68.34
74,2021-05-01,m+2,67.61379439025215,73.35
75,2021-06-01,m+2,67.8383381934088,74.29
76,2021-07-01,m+2,72.33121601735303,70.51
77,2021-08-01,m+2,77.452470778905,74.88
78,2021-09-01,m+2,76.0464273381319,83.75
79,2021-10-01,m+2,62.493652945825644,80.75
80,2021-11-01,m+2,63.26452925969048,74.8
81,2021-12-01,m+2,74.47704876588242,85.48
82,2022-01-01,m+2,70.14444103475009,94.28
83,2022-02-01,m+2,72.26086422311909,112.51
84,2022-03-01,m+2,107.0529841792303,105.81
85,2022-04-01,m+2,117.32447208644041,111.55
86,2022-05-01,m+2,99.12147343181661,117.22
87,2022-06-01,m+2,106.40633787526275,105.14
88,2022-07-01,m+2,110.97585755552552,97.74
89,2022-08-01,m+2,104.08927161581988,90.57
90,2022-09-01,m+2,113.38399425587896,93.6
91,2022-10-01,m+2,95.9546156389813,90.38
92,2019-01-01,m+3,56.385062776731054,67.05
93,2019-02-01,m+3,63.63761947340755,71.66
94,2019-03-01,m+3,73.45017285229665,70.3
95,2019-04-01,m+3,72.66573862689481,63.05
96,2019-05-01,m+3,72.25797579277872,64.19
97,2019-06-01,m+3,70.97965803304032,59.47
98,2019-07-01,m+3,76.95668149140586,62.29
99,2019-08-01,m+3,74.51646779580864,59.63
100,2019-09-01,m+3,64.5178304264378,62.71
101,2019-10-01,m+3,55.975738423006455,65.17
102,2019-11-01,m+3,51.06852502873062,63.67
103,2019-12-01,m+3,67.50075307091772,55.53
104,2020-01-01,m+3,65.17465707688511,33.73
105,2020-02-01,m+3,62.72945232292936,26.63
106,2020-03-01,m+3,60.01298436307302,32.11
107,2020-04-01,m+3,42.20113562090716,40.77
108,2020-05-01,m+3,29.916292709069296,43.24
109,2020-06-01,m+3,33.571548344757794,45.04
110,2020-07-01,m+3,50.513548510735134,41.87
111,2020-08-01,m+3,54.60246632392078,41.36
112,2020-09-01,m+3,51.49484112663805,43.98
113,2020-10-01,m+3,64.2579279533372,50.23
114,2020-11-01,m+3,68.40140132619649,55.33
115,2020-12-01,m+3,48.27125883727551,62.27
116,2021-01-01,m+3,51.341996928892684,65.84
117,2021-02-01,m+3,56.944736959370616,65.33
118,2021-03-01,m+3,68.15231748109846,68.34
119,2021-04-01,m+3,72.69218938443093,73.35
120,2021-05-01,m+3,67.64006718980832,74.29
121,2021-06-01,m+3,67.1164487466834,70.51
122,2021-07-01,m+3,75.83953435100676,74.88
123,2021-08-01,m+3,78.90439899941703,83.75
124,2021-09-01,m+3,61.87464861918113,80.75
125,2021-10-01,m+3,54.45948319797189,74.8
126,2021-11-01,m+3,64.18097099365193,85.48
127,2021-12-01,m+3,70.92056131975816,94.28
128,2022-01-01,m+3,58.20250913603081,112.51
129,2022-02-01,m+3,70.4223745228465,105.81
130,2022-03-01,m+3,105.2356394204997,111.55
131,2022-04-01,m+3,108.80144221446186,117.22
132,2022-05-01,m+3,98.94065945356812,105.14
133,2022-06-01,m+3,99.68324481204638,97.74
134,2022-07-01,m+3,114.74279188022146,90.57
135,2022-08-01,m+3,112.49960903701862,93.6
136,2022-09-01,m+3,108.90141192531775,90.38
137,2022-10-01,m+3,87.09636514638163,81.34
